"id","user_id","action","performed_on","action_date"
"86","1","OTHER","Event Slug for Event:Berkeley Recruitment does not exist, creating slug","2024-01-16 15:22:08"
"87","1","CREATE","Event ID: 6 Event Name: Berkeley Recruitment was sluggified with Slug: berkeley-recruitment","2024-01-16 15:22:08"
"88","1","CREATE","Event ID: 6 Event Name: Berkeley Recruitment","2024-01-16 15:22:08"
"89","1","OTHER","Event Slug for Event:Winston Salem Trip does not exist, creating slug","2024-01-16 15:23:14"
"90","1","CREATE","Event ID: 7 Event Name: Winston Salem Trip was sluggified with Slug: winston-salem-trip","2024-01-16 15:23:14"
"91","1","CREATE","Event ID: 7 Event Name: Winston Salem Trip","2024-01-16 15:23:14"
"92","1","OTHER","Event Slug for Event:Duke Recruitment does not exist, creating slug","2024-01-16 15:23:53"
"93","1","CREATE","Event ID: 8 Event Name: Duke Recruitment was sluggified with Slug: duke-recruitment","2024-01-16 15:23:53"
"94","1","CREATE","Event ID: 8 Event Name: Duke Recruitment","2024-01-16 15:23:53"
"95","1","OTHER","Event Slug for Event:UNC Recruitment does not exist, creating slug","2024-01-16 15:24:20"
"96","1","CREATE","Event ID: 9 Event Name: UNC Recruitment was sluggified with Slug: unc-recruitment","2024-01-16 15:24:20"
"97","1","CREATE","Event ID: 9 Event Name: UNC Recruitment","2024-01-16 15:24:20"
"98","1","OTHER","Event Slug for Event:RCCC - Community Recruitment does not exist, creating slug","2024-01-16 15:25:21"
"99","1","OTHER","Event Slug for Event:RCCC - Community Recruitment Event does not exist, creating slug","2024-01-16 15:30:18"
"100","1","CREATE","Event ID: 10 Event Name: RCCC - Community Recruitment Event was sluggified with Slug: rccc---community-recruitm","2024-01-16 15:30:18"
"101","1","MODIFY","Event ID: 10 Event Name: RCCC - Community Recruitment Event","2024-01-16 15:30:18"
"102",NULL,"OTHER","Emily Johnson Added","2024-01-16 15:34:21"
"103",NULL,"MODIFY","Emily Johnson Added to Event Duke Recruitment","2024-01-16 15:34:21"
"104",NULL,"OTHER","Emily Johnson","2024-01-16 15:34:21"
"105","1","OTHER","Report 30","2024-01-16 15:34:49"
"106","1","OTHER","Report 31","2024-01-16 15:35:03"
"107","1","OTHER","Report 32","2024-01-16 15:35:13"
"108",NULL,"OTHER","major","2024-01-16 15:39:12"
"109",NULL,"OTHER","Alex Davis Added","2024-01-16 15:39:12"
"110",NULL,"OTHER","Alex Davis","2024-01-16 15:39:12"
"111","1","OTHER","Report 33","2024-01-16 15:39:43"
"112","1","OTHER","Report 34","2024-01-16 15:40:00"
"113","1","OTHER","Report 35","2024-01-16 15:40:08"
"114",NULL,"OTHER","major","2024-01-16 15:42:21"
"115",NULL,"OTHER","Olivia Thompson Added","2024-01-16 15:42:21"
"116",NULL,"MODIFY","Olivia Thompson Added to Event Wake Forest Trip","2024-01-16 15:42:21"
"117",NULL,"OTHER","Olivia Thompson","2024-01-16 15:42:21"
"118","1","OTHER","Report 36","2024-01-16 15:43:11"
"119","1","OTHER","Report 37","2024-01-16 15:43:21"
"120","1","OTHER","Report 38","2024-01-16 15:43:32"
"121","1","OTHER","Report 39","2024-01-16 15:43:44"
"122","1","OTHER","Report 40","2024-01-16 15:44:13"
"123",NULL,"OTHER","major","2024-01-16 15:47:01"
"124",NULL,"OTHER","Sophia Brown Added","2024-01-16 15:47:01"
"125",NULL,"MODIFY","Sophia Brown Added to Event Duke Recruitment","2024-01-16 15:47:01"
"126",NULL,"OTHER","Sophia Brown","2024-01-16 15:47:01"
"127",NULL,"OTHER","Michael Miller Added","2024-01-16 15:48:33"
"128",NULL,"MODIFY","Michael Miller Added to Event Duke Recruitment","2024-01-16 15:48:33"
"129",NULL,"OTHER","Michael Miller","2024-01-16 15:48:33"
"130","1","OTHER","Report 41","2024-01-16 15:48:56"
"131","1","OTHER","Report 42","2024-01-16 15:49:02"
"132","1","OTHER","Report 43","2024-01-16 15:49:08"
"133","1","OTHER","Report 44","2024-01-16 15:49:22"
"134","1","OTHER","Report 45","2024-01-16 15:49:34"
"135",NULL,"OTHER","Patrick Barnhardt Added","2024-01-16 15:51:49"
"136",NULL,"MODIFY","Patrick Barnhardt Added to Event WGU Job Faire","2024-01-16 15:51:49"
"137",NULL,"OTHER","Patrick Barnhardt","2024-01-16 15:51:49"
"138","1","OTHER","Report 46","2024-01-16 15:52:11"
"139","1","OTHER","Report 47","2024-01-16 15:52:23"
"140","1","OTHER","Report 48","2024-01-16 15:52:40"
"141","1","OTHER","Report 49","2024-01-16 15:52:49"
"142","1","OTHER","Report 50","2024-01-16 15:52:56"
"143",NULL,"LOGIN","User 1","2024-01-16 15:57:58"
"144","1","OTHER","Report 51","2024-01-16 19:32:22"
"145",NULL,"MODIFY","Role ID: 11 Role Name: standard user added to User ID: 2 User Name: test","2024-01-16 21:29:03"
"146",NULL,"OTHER","test@email.com","2024-01-16 21:29:03"
"147","1","CREATE","User test","2024-01-16 21:29:03"
"148",NULL,"LOGIN","User 2","2024-01-16 21:39:36"
"149","2","ERROR","CODE: [MYSTIC]- An error has occurred, contact the Administrator. FOUND AT: /admin/dashboard.php?login=success&u=Mg==","2024-01-16 21:42:41"
"150","2","ERROR","CODE: [TELESCOPE]- You do not have permission to access the dashboard, contact the Administrator. FOUND AT: /admin/dashboard.php?login=success&u=Mg==","2024-01-16 21:45:52"
"151","2","ERROR","CODE: [TELESCOPE]- You do not have permission to access the dashboard, contact the Administrator. FOUND AT: /admin/dashboard.php","2024-01-16 21:46:05"
"152","2","ERROR","CODE: [TELESCOPE]- You do not have permission to access this content, contact the Administrator. FOUND AT: /admin/dashboard.php","2024-01-16 21:47:03"
"153","2","ERROR","CODE: [TELESCOPE]- You do not have permission to access this content, contact the Administrator. FOUND AT: /admin/dashboard.php","2024-01-16 21:53:06"
"154","2","ERROR","CODE: [TELESCOPE]- You do not have permission to access this content, contact the Administrator. FOUND AT: /admin/dashboard.php","2024-01-16 21:53:17"
"155","2","ERROR","CODE: [TELESCOPE]- You do not have permission to access this content, contact the Administrator. FOUND AT: /admin/dashboard.php","2024-01-16 21:55:49"
"156","1","MODIFY","Role 11 was given permission 37","2024-01-16 21:57:50"
"157","2","ERROR","CODE: [LYNX]- AT: /admin/dashboard.php?view=activity-log","2024-01-16 22:01:37"
"158","2","ERROR","CODE: [LYNX]- AT: /admin/dashboard.php?view=activity-log","2024-01-16 22:01:42"
"159","2","ERROR","CODE: [LYNX]- AT: /admin/dashboard.php?view=contact-log","2024-01-16 22:03:28"
"160","2","ERROR","CODE: [LYNX]- AT: /admin/dashboard.php?view=activity-log","2024-01-16 22:03:29"
"161",NULL,"LOGIN","User 2","2024-01-17 14:30:41"
"162","2","ERROR","CODE: [LYNX]- AT: /admin/dashboard.php?view=students&student=list","2024-01-17 14:34:13"
"163","2","ERROR","CODE: [LYNX]- AT: /admin/dashboard.php?view=students&student=list","2024-01-17 14:43:22"
"164","2","ERROR","CODE: [LYNX]- AT: /admin/dashboard.php?view=activity-log","2024-01-17 14:43:47"
"165","2","ERROR","CODE: [SASQUATCH]- AT: /admin/dashboard.php?view=events&event=single&id=100","2024-01-17 14:56:44"
"166","2","ERROR","CODE: [CIPHER]- AT: /admin/dashboard.php?view=events&event=single&id=0","2024-01-17 15:18:54"
"167","2","ERROR","CODE: [SASQUATCH]- AT: /admin/dashboard.php?view=events&event=single&id=100","2024-01-17 15:19:02"
"168","2","ERROR","CODE: [LYNX]- AT: /admin/dashboard.php?view=activity-log","2024-01-17 15:38:52"
"169","2","ERROR","CODE: [CIPHER]- AT: /admin/dashboard.php?view=reports&report=single&type=Top+Degree+by+School&id=0","2024-01-17 15:39:07"
"170","2","ERROR","CODE: [MONOLITH]- AT: /admin/dashboard.php?view=reports&report=single&type=fae&id=0","2024-01-17 15:39:25"
"171","2","ERROR","CODE: [LYNX]- AT: /admin/dashboard.php?view=activity-log","2024-01-17 15:39:31"
"172","2","ERROR","CODE: [LYNX]- AT: /admin/dashboard.php?view=activity-log","2024-01-17 15:41:53"
"173","2","ERROR","CODE: [SASQUATCH]- AT: /admin/dashboard.php?view=reports&report=single&type=Top+Degree+by+School&id=100","2024-01-17 15:42:31"
"174","2","ERROR","CODE: [SASQUATCH]- AT: /admin/dashboard.php?view=roles&role=single&id=15","2024-01-17 15:49:32"
"175","2","ERROR","CODE: [SASQUATCH]- AT: /admin/dashboard.php?view=roles&role=single&id=15","2024-01-17 15:51:47"
"176","1","ERROR","CODE: [PELICAN]- AT: /admin/dashboard.php?view=students&student=single&id=5","2024-01-17 16:28:33"
"177","1","OTHER","Sam Smith","2024-01-17 16:28:43"
"178","1","ERROR","CODE: [PELICAN]- AT: /admin/dashboard.php?view=students&student=single&id=10","2024-01-17 16:30:07"
"179","1","OTHER","Michael Miller","2024-01-17 16:30:15"
"180","1","ERROR","CODE: [PELICAN]- AT: /admin/dashboard.php?view=students&student=single&id=5","2024-01-17 16:35:01"
"181","1","OTHER","Sam Smith","2024-01-17 16:35:09"
"182","1","ERROR","CODE: [PELICAN]- AT: /admin/dashboard.php?view=students&student=single&id=6","2024-01-17 16:36:06"
"183","1","OTHER","Emily Johnson","2024-01-17 16:36:13"
"184","1","ERROR","CODE: [PELICAN]- AT: /admin/dashboard.php?view=students&student=single&id=11","2024-01-17 16:43:23"
"185","1","ERROR","CODE: [PELICAN]- AT: /admin/dashboard.php?view=students&student=single&id=11","2024-01-17 16:43:42"
"186","1","ERROR","CODE: [PELICAN]- AT: /admin/dashboard.php?view=students&student=single&id=9","2024-01-17 16:45:06"
"187","1","ERROR","CODE: [PELICAN]- AT: /admin/dashboard.php?view=students&student=single&id=5","2024-01-17 16:45:13"
"188","1","EMAIL","Sent Sam Smith @ ssmith@example.com - Subject: tests by admin","2024-01-17 16:45:19"
"189","1","EMAIL","Sent Sam Smith @ ssmith@example.com - Subject: tests by admin","2024-01-17 16:47:28"
"190","1","EMAIL","Sent Sam Smith @ ssmith@example.com - Subject: test by admin","2024-01-17 16:47:37"
"191","1","EMAIL","Sent Sam Smith @ ssmith@example.com - Subject: test by admin","2024-01-17 16:52:02"
"192","1","ERROR","CODE: [PELICAN]- AT: /admin/dashboard.php?view=students&student=single&id=5","2024-01-17 16:52:42"
"193","1","EMAIL","Sent Sam Smith @ ssmith@example.com - Subject: test by admin","2024-01-17 16:52:50"
"194","1","ERROR","CODE: [PELICAN]- AT: /admin/dashboard.php?view=students&student=single&id=10","2024-01-17 16:53:29"
"195","1","EMAIL","Sent Michael Miller @ michael.miller@email.com - Subject: any of the R710 left? by admin","2024-01-17 16:53:35"
"196","1","ERROR","CODE: [PELICAN]- AT: /admin/dashboard.php?view=students&student=single&id=11","2024-01-17 18:13:20"
"197","1","EMAIL","Sent Patrick Barnhardt @ pbarnh1@wgu.edu - Subject: test by admin","2024-01-17 18:13:26"
"198","1","OTHER","Report 52","2024-01-17 18:17:38"
"199","1","EMAIL","Sent Michael Miller @ michael.miller@email.com - Subject: any of the R710 left? by admin","2024-01-17 18:17:55"
"200","2","ERROR","CODE: [LYNX]- AT: /admin/dashboard.php?view=users&user=single&id=1","2024-01-17 18:36:44"
"201","2","ERROR","CODE: [LYNX]- AT: /admin/dashboard.php?view=users&user=single&id=10","2024-01-17 18:36:53"
"202","1","CREATE","Report 53","2024-01-17 18:48:31"
"203","1","CREATE","Report:  Top Field by School - ID: 54 Date: 01/17/2024","2024-01-17 18:48:33"
"204","1","CREATE","Report:  Major to Field Ratio by School - ID: 55 Date: 01/17/2024","2024-01-17 18:48:35"
"205","1","CREATE","Report:  Jobs by Field - ID: 56 Date: 01/17/2024","2024-01-17 18:48:37"
"206","1","CREATE","Report:  Contact Follow-Up Percentage - ID: 57 Date: 01/17/2024","2024-01-17 18:48:39"
"207","2","ERROR","CODE: [LYNX]- AT: /admin/dashboard.php?view=students&student=list","2024-01-17 20:50:59"
"208","2","ERROR","CODE: [LYNX]- AT: /admin/dashboard.php?view=settings","2024-01-17 20:54:11"
"209","2","ERROR","CODE: [LYNX]- AT: /admin/dashboard.php?view=events&event=edit&action=edit&id=1","2024-01-17 20:54:35"
"210","2","ERROR","CODE: [LYNX]- AT: /admin/dashboard.php?view=users&user=single&id=1","2024-01-17 20:55:40"
"211","1","ERROR","CODE: [LYNX]- AT: /admin/dashboard.php?view=users&user=edit&action=edit&id=2","2024-01-18 17:43:57"
"212",NULL,"LOGIN","User 1","2024-01-22 14:05:05"
"213","1","MODIFY","School Harvard University","2024-01-22 15:08:56"
"214","1","OTHER","Logo Image File:/Users/pbarnhardt/Sites/capstone/rym2/admin/editor/actions/school/../../../../public/content/uploads/Harvard_University_shield.png uploaded successfully","2024-01-22 15:26:31"
"215","1","MODIFY","School Harvard University","2024-01-22 15:26:31"
"216","1","ERROR","Error Uploading Media: Error moving file to upload directory - 98cf7d6d899badc5d9752a12d6e97209.png","2024-01-22 19:11:03"
"217","1","MODIFY","School Stanford University","2024-01-22 19:11:03"
"218","1","ERROR","Error Uploading Media: Error moving file to upload directory - 98cf7d6d899badc5d9752a12d6e97209.png","2024-01-22 19:15:17"
"219","1","MODIFY","School Stanford University","2024-01-22 19:15:17"
"220","1","ERROR","Error Uploading Media: Error moving file to upload directory - 98cf7d6d899badc5d9752a12d6e97209.png","2024-01-22 19:16:14"
"221","1","MODIFY","School Stanford University","2024-01-22 19:16:14"
"222","1","ERROR","Error Uploading Media: Error moving file to upload directory - 98cf7d6d899badc5d9752a12d6e97209.png","2024-01-22 19:17:21"
"223","1","MODIFY","School Stanford University","2024-01-22 19:17:21"
"224","1","ERROR","Error Uploading Media: File already exists - 98cf7d6d899badc5d9752a12d6e97209.png","2024-01-22 19:19:29"
"225","1","MODIFY","School Stanford University","2024-01-22 19:19:29"
"226","1","MODIFY","School Stanford University","2024-01-22 19:21:20"
"227","1","OTHER","Event Slug for Event:Wake Forest Trip already exists, incrementing slug","2024-01-22 19:53:34"
"228","1","MODIFY","Event ID: 5 Event Name: Wake Forest Trip was sluggified with Slug: wake-forest-trip","2024-01-22 19:53:35"
"229","1","MODIFY","Event ID: 5 Event Name: Wake Forest Trip","2024-01-22 19:53:35"
"230","1","ERROR","Error Uploading Media: Invalid file type - ","2024-01-22 19:57:39"
"231","1","OTHER","Event Slug for Event:Wake Forest Trip already exists, incrementing slug","2024-01-22 19:57:39"
"232","1","MODIFY","Event ID: 5 Event Name: Wake Forest Trip was sluggified with Slug: wake-forest-trip","2024-01-22 19:57:39"
"233","1","MODIFY","Event ID: 5 Event Name: Wake Forest Trip","2024-01-22 19:57:39"
"234","1","ERROR","Error Uploading Media: Invalid file type - ","2024-01-22 20:04:42"
"235","1","OTHER","Event Slug for Event:Wake Forest Trip already exists, incrementing slug","2024-01-22 20:04:42"
"236","1","MODIFY","Event ID: 5 Event Name: Wake Forest Trip was sluggified with Slug: wake-forest-trip","2024-01-22 20:04:42"
"237","1","MODIFY","Event ID: 5 Event Name: Wake Forest Trip","2024-01-22 20:04:42"
"238","1","ERROR","Error Uploading Media: File already exists - image-placeholder-500x500.jpg","2024-01-22 20:05:24"
"239","1","OTHER","Event Slug for Event:Wake Forest Trip already exists, incrementing slug","2024-01-22 20:05:25"
"240","1","MODIFY","Event ID: 5 Event Name: Wake Forest Trip was sluggified with Slug: wake-forest-trip","2024-01-22 20:05:25"
"241","1","MODIFY","Event ID: 5 Event Name: Wake Forest Trip","2024-01-22 20:05:25"
"242","1","OTHER","Event Slug for Event:Wake Forest Trip already exists, incrementing slug","2024-01-22 20:17:09"
"243","1","MODIFY","Event ID: 5 Event Name: Wake Forest Trip was sluggified with Slug: wake-forest-trip","2024-01-22 20:17:09"
"244","1","MODIFY","Event ID: 5 Event Name: Wake Forest Trip","2024-01-22 20:17:09"
"245","1","ERROR","Error Uploading Media: Invalid file type - ","2024-01-22 20:26:23"
"246","1","OTHER","Event Slug for Event:Berkeley Recruitment already exists, incrementing slug","2024-01-22 20:26:23"
"247","1","MODIFY","Event ID: 6 Event Name: Berkeley Recruitment was sluggified with Slug: berkeley-recruitment","2024-01-22 20:26:23"
"248","1","MODIFY","Event ID: 6 Event Name: Berkeley Recruitment","2024-01-22 20:26:23"
"249","1","ERROR","Error Uploading Media: Invalid file type - ","2024-01-22 20:33:03"
"250","1","OTHER","Event Slug for Event:Berkeley Recruitment already exists, incrementing slug","2024-01-22 20:33:03"
"251","1","MODIFY","Event ID: 6 Event Name: Berkeley Recruitment was sluggified with Slug: berkeley-recruitment","2024-01-22 20:33:03"
"252","1","MODIFY","Event ID: 6 Event Name: Berkeley Recruitment","2024-01-22 20:33:03"
"253","1","MODIFY","Role 3 was given permission 59","2024-01-23 14:05:31"
"254","1","MODIFY","Role 3 was given permission 60","2024-01-23 14:05:31"
"255","1","MODIFY","Role 3 was given permission 61","2024-01-23 14:05:31"
"256","1","MODIFY","Role 3 was given permission 62","2024-01-23 14:05:31"
"257",NULL,"LOGIN","User admin","2024-01-23 20:42:04"
"258","1","ERROR","CODE: [CIPHER]- AT: /admin/dashboard.php?view=media&media=add&action=create","2024-01-24 18:16:36"
"259","1","ERROR","CODE: [CIPHER]- AT: /admin/dashboard.php?view=media&media=add&action=create","2024-01-24 18:18:15"
"260","1","OTHER","Media Uploaded: placeholderbanner.png","2024-01-24 18:20:09"
"261","1","ERROR","Error Uploading Media: Invalid file type - ","2024-01-24 18:49:59"
"262","1","ERROR","Error Uploading Media: Invalid file type - ","2024-01-24 18:50:58"
"263","1","OTHER","Media Uploaded: placeholderlogopng.png","2024-01-24 20:31:24"
"264","1","ERROR","Error Uploading Media: Invalid file type - ","2024-01-24 20:31:41"
"265","1","MODIFY","School Western Governor&#039;s University - WGU","2024-01-24 20:32:11"
"266","1","MODIFY","School University of North Carolina at Charlotte - UNCC","2024-01-24 20:32:38"
"267","1","MODIFY","School Stanly Community College - SCC","2024-01-24 20:32:50"
"268","1","MODIFY","School University of North Carolina at Greensboro - UNCG","2024-01-24 20:33:30"
"269","1","MODIFY","School Harvard University","2024-01-24 20:33:44"
"270","1","MODIFY","School Stanford University","2024-01-24 20:33:58"
"271","1","MODIFY","School Massachusetts Institute of Technology - MIT","2024-01-24 20:34:12"
"272","1","MODIFY","School University of California, Berkeley","2024-01-24 20:34:29"
"273","1","MODIFY","School Yale University","2024-01-24 20:34:46"
"274","1","MODIFY","School University of Chicago","2024-01-24 20:35:03"
"275","1","MODIFY","School Columbia University","2024-01-24 20:35:18"
"276","1","MODIFY","School Duke University","2024-01-24 20:35:32"
"277","1","MODIFY","School University of North Carolina at Chapel Hill - UNC Chapel Hill","2024-01-24 20:35:55"
"278","1","MODIFY","School North Carolina State University","2024-01-24 20:36:10"
"279","1","MODIFY","School Wake Forest University","2024-01-24 20:36:27"
"280","1","MODIFY","School Rowan-Cabarrus Community College - RCCC","2024-01-24 20:38:01"
"281","1","DELETE","Student ID: 2 Student Name: Kelsey Berkman from Event ID: 1 Event Name: WGU Job Faire","2024-01-25 14:02:28"
"282","1","DELETE","Student ID: 2 Student Name: Kelsey Berkman","2024-01-25 14:02:28"
"283","1","DELETE","Student ID: 1 Student Name: Patrick Barnhardt from Event ID: 1 Event Name: WGU Job Faire","2024-01-25 14:02:34"
"284","1","DELETE","Student ID: 1 Student Name: Patrick Barnhardt","2024-01-25 14:02:34"
"285","1","DELETE","Student ID: 11 Student Name: Patrick Barnhardt from Event ID: 1 Event Name: WGU Job Faire","2024-01-25 14:02:43"
"286","1","DELETE","Student ID: 11 Student Name: Patrick Barnhardt","2024-01-25 14:02:43"
"287","1","OTHER","Media Uploaded: 312920701_622333729345028_2932566406123148558_n.jpg","2024-01-25 14:44:01"
"288","1","OTHER","Media Uploaded: 2023.09.07_FinancialServices-CareerFair_600x400.png","2024-01-25 14:44:01"
"289","1","OTHER","Event Slug for Event:UNCC Charlotte already exists, incrementing slug","2024-01-25 14:44:01"
"290","1","MODIFY","Event ID: 2 Event Name: UNCC Charlotte was sluggified with Slug: uncc-charlotte","2024-01-25 14:44:01"
"291","1","MODIFY","Event ID: 2 Event Name: UNCC Charlotte","2024-01-25 14:44:01"
"292","1","OTHER","Event Slug for Event:UNCC Charlotte already exists, incrementing slug","2024-01-25 14:44:17"
"293","1","MODIFY","Event ID: 2 Event Name: UNCC Charlotte was sluggified with Slug: uncc-charlotte","2024-01-25 14:44:17"
"294","1","MODIFY","Event ID: 2 Event Name: UNCC Charlotte","2024-01-25 14:44:17"
"295","1","OTHER","Event Slug for Event:UNCC Charlotte already exists, incrementing slug","2024-01-25 14:44:30"
"296","1","MODIFY","Event ID: 2 Event Name: UNCC Charlotte was sluggified with Slug: uncc-charlotte","2024-01-25 14:44:30"
"297","1","MODIFY","Event ID: 2 Event Name: UNCC Charlotte","2024-01-25 14:44:30"
"298","1","DELETE","Job ID: 1 Job Name: Packaging Operator","2024-01-25 14:51:48"
"299","1","DELETE","Job ID: 2 Job Name: Business Analyst","2024-01-25 14:51:54"
"300","1","DELETE","Job ID: 5 Job Name: Job","2024-01-25 14:51:58"
"301","1","DELETE","Job ID: 7 Job Name: Helpdesk","2024-01-25 14:52:02"
"302","1","MODIFY","The privacy policy was changed.","2024-01-25 20:41:47"
"303","1","MODIFY","The terms and conditions were changed.","2024-01-25 20:41:47"
"304","1","MODIFY","The privacy policy was changed.","2024-01-25 20:44:09"
"305","1","MODIFY","The terms and conditions were changed.","2024-01-25 20:44:09"
"306","1","OTHER","Media Uploaded: gc4pJHd.jpg","2024-01-25 20:21:33"
